size,cutoff,seed,success,time_sec,output
10,0,0,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,1,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,2,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,4,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,8,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,16,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,32,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,64,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,128,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,256,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,512,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,1024,True,-1,Sorting 10 elements took 0.00 seconds.
10,0,2048,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,0,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,1,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,2,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,4,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,8,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,16,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,32,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,64,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,128,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,256,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,512,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,1024,True,-1,Sorting 10 elements took 0.00 seconds.
10,1,2048,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,0,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,1,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,2,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,4,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,8,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,16,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,32,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,64,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,128,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,256,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,512,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,1024,True,-1,Sorting 10 elements took 0.00 seconds.
10,2,2048,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,0,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,1,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,2,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,4,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,8,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,16,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,32,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,64,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,128,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,256,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,512,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,1024,True,-1,Sorting 10 elements took 0.00 seconds.
10,4,2048,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,0,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,1,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,2,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,4,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,8,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,16,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,32,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,64,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,128,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,256,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,512,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,1024,True,-1,Sorting 10 elements took 0.00 seconds.
10,8,2048,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,0,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,1,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,2,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,4,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,8,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,16,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,32,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,64,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,128,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,256,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,512,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,1024,True,-1,Sorting 10 elements took 0.00 seconds.
10,16,2048,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,0,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,1,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,2,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,4,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,8,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,16,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,32,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,64,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,128,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,256,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,512,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,1024,True,-1,Sorting 10 elements took 0.00 seconds.
10,32,2048,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,0,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,1,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,2,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,4,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,8,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,16,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,32,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,64,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,128,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,256,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,512,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,1024,True,-1,Sorting 10 elements took 0.00 seconds.
10,2048,2048,True,-1,Sorting 10 elements took 0.00 seconds.
100,0,0,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,1,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,2,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,4,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,8,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,16,True,-1,Sorting 100 elements took 0.00 seconds.
